"Category","EU Average","EU Min","EU Max","Spain","France","Italy","Germany"
"2014-1",101.5,66,186.9,86.8,82.4,122.3,137.1
"2014-2",100.7,61.6,186.9,81.8,82,122.6,136.8
"2014-3",100.1,63.3,186.9,83.2,81.1,121.9,136
"2014-4",98.8,62.7,186.9,83,77.7,120,134.8
"2014-5",98.6,60,192.4,87.4,74.9,119.4,134.3
"2014-6",98.7,58.8,192.4,90.8,74.9,120,134
"2014-7",97.4,54.9,194.3,95.7,61.1,132.2,131.1
"2014-8",97,55.9,194.3,91.4,60.3,132.2,131.3
"2014-9",98.6,55.9,188,94.7,63.4,134.1,131.6
"2014-10",98.8,56.9,188,93.1,66,133,131.4
"2014-11",99.2,56.5,172,89.4,68,133.6,132.6
"2014-12",99.3,56.4,172,90.3,68.6,133,132.2
"2015-1",97.7,57.5,153.6,92.8,79.3,120.9,127.7
"2015-2",97.7,57.2,153.6,88.8,80.6,121.3,127.4
"2015-3",96.9,55.9,153.6,88.1,79.6,119.4,127.1
"2015-4",95.5,52.3,137.3,88.3,76.3,118,126.5
"2015-5",94.6,48.7,139.5,87.8,72.8,118.6,125.8
"2015-6",94.8,46.5,139.3,93,74.1,117.9,125.5
"2015-7",92.3,40.8,141.5,100.4,64,122.2,119.1
"2015-8",92,41.9,141.5,95.7,63.2,122.2,118.5
"2015-9",92.1,43.2,141.6,93.5,64.2,122.2,118
"2015-10",92.2,46.8,140.4,92.1,65.7,122.2,117.1
"2015-11",92,47.6,139.6,92.6,66.8,121,116.5
"2015-12",91.4,49.8,140.5,93.8,65.4,120.6,115.9
"2016-1",84,53.1,122.9,82.6,65.7,105.3,99.6
"2016-2",82.3,50.6,120.6,79.5,64.7,104.4,98.2
"2016-3",82,50.3,120.6,78.4,64.5,103.9,97.9
"2016-4",80,47,120.6,75.5,60.9,99.9,97.8
"2016-5",80.2,44.5,120.6,75.7,60.5,101,97.8
"2016-6",81.6,46.3,120.6,82.1,61.3,102,98.7
"2016-7",85.6,51.7,129,79.8,61.4,110.2,108.4
"2016-8",85.4,52.1,132.3,79,61.6,109.5,108.1
"2016-9",85.4,52.5,132.1,80.4,62.2,108.8,107.1
"2016-10",86.4,58.5,129.2,84.8,63.1,106.9,108.4
"2016-11",87.7,61,128.9,86.3,66.1,106.7,109.1
"2016-12",87.7,62.4,129.7,89.2,66.6,106.2,109
"2017-1",91.7,52.9,140.6,94.4,65.1,102.4,130.3
"2017-2",90.7,52.9,140.6,86.2,63.2,102.9,129.4
"2017-3",89.5,51.9,147.6,81.5,61.8,102.2,129.1
"2017-4",88.4,48.1,147.6,82,59.1,102,129.1
"2017-5",88,45.5,149.4,82.8,58.2,101.3,128.6
"2017-6",88.1,44.1,149.4,85,58.4,101.3,128.9
"2017-7",82.7,46.9,149.2,81.3,56.8,92.8,112.1
"2017-8",83.1,47.5,149.2,79.9,57.6,93.7,112.3
"2017-9",83.4,48.9,141,81.1,57.8,93.1,113
"2017-10",83.9,50.4,141,84,58.6,93.5,113.2
"2017-11",85.6,52.1,130.4,85.1,63.3,94.3,114.1
