"Category","EU Average","EU Min","EU Max","Spain","France","Italy","Germany"
"2014-1",37.76,34.14,60.67,39.05,35.9,35.1,40.13
"2014-2",37.44,34.2,60.3,36.8,35.72,35.18,40.03
"2014-3",37.21,33.69,59.64,37.4,35.33,34.98,39.79
"2014-4",36.76,31.3,59.34,37.35,33.87,34.42,39.45
"2014-5",36.67,31.02,58.83,39.3,32.62,34.26,39.3
"2014-6",36.71,31.07,58.68,40.86,32.62,34.42,39.21
"2014-7",35.13,29,58.19,40.32,30.04,32.34,37.44
"2014-8",35,28.95,54.93,38.49,29.64,32.34,37.49
"2014-9",35.57,29.66,58.36,39.87,31.17,32.8,37.58
"2014-10",35.66,31.53,56.9,39.23,32.47,32.53,37.53
"2014-11",35.79,31.8,55.1,37.65,33.43,32.68,37.86
"2014-12",35.83,31.75,58.66,38.05,33.72,32.53,37.76
"2015-1",34.47,25.91,55.92,36.47,31.19,32.53,36.48
"2015-2",34.47,25.82,55.67,34.9,31.72,32.65,36.39
"2015-3",34.16,26,54.38,34.63,31.3,32.13,36.3
"2015-4",33.69,25.29,50.89,34.67,30.02,31.77,36.11
"2015-5",33.35,25.2,50.71,34.49,28.65,31.93,35.93
"2015-6",33.43,25.47,50.37,36.52,29.15,31.73,35.84
"2015-7",31.26,24.49,43.83,33.88,27.86,29.49,33.74
"2015-8",31.14,25.31,44.99,32.3,27.5,29.49,33.57
"2015-9",31.18,26.87,46.4,31.54,27.93,29.49,33.44
"2015-10",31.22,27.13,50.31,31.08,28.58,29.49,33.18
"2015-11",31.14,26.66,51.15,31.25,29.08,29.19,33.01
"2015-12",30.93,26.18,53.52,31.67,28.47,29.11,32.84
"2016-1",26.59,21.22,47.04,26.01,21.32,27.56,27.79
"2016-2",26.06,20.72,44.85,25.02,20.99,27.35,27.38
"2016-3",25.95,20.68,44.58,24.68,20.94,27.2,27.31
"2016-4",25.32,19.39,41.63,23.77,19.76,26.16,27.27
"2016-5",25.39,19.65,39.37,23.84,19.65,26.44,27.27
"2016-6",25.85,19.9,40.98,25.86,19.9,26.7,27.53
"2016-7",26.11,19.81,41.61,23.84,24.9,25.37,28.42
"2016-8",26.05,19.09,41.94,23.6,25.01,25.21,28.35
"2016-9",26.05,19.35,42.27,24.01,25.24,25.04,28.08
"2016-10",26.36,21.98,47.05,25.33,25.61,24.59,28.42
